확정여부,구분,티켓명,인보이스 번호,주문번호1 구분,carrier_name,carrier_mode,onboard_date,출발창고,도착창고,인바운드(자동),SBS_인바운드(키인),인바운드 번호,FNSKU,ASIN,resource_code,resource_name,qty_ea,qty_ctn,unit_price,amount_usd,exp_date,remark,bl_no,status,unit_type,unit_count,pallet,kg_total,cbm_total,eta_date,수출신고번호,arrival_date,inbound_date,leadtime_total,선박/편명,선적여부,bl_version,입고완료,입고중_AMZ,입고중,점검
확정,0,ASANA 이전 생성건,TA254003250731,TA254003250731,KW,특송,45870,태광KR,AMZUS,TA254003250731,,TA254003250731,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,3240,30,8,25920,20280616,8/1 KW 로 한번에 출고 후 아마존 분할 발송진행,1Z2W0R060493218112,FINISHED,,,,,,,,2025-08-04,2025-09-18,2025-08-01,,,ALL_RECEIVED,0,0,0,확인요
확정,1,ASANA 이전 생성건,TA254003250731-01,TA254003250731,KW,특송,45873,태광KR,AMZUS,TA254003250731-01,,TA254003250731-01,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,1728,16,8,13824,20280616,,1Z2W0R060497400452,FINISHED,,,,,,,,2025-08-06,2025-09-18,2025-08-04,,,ALL_RECEIVED,0,0,0,확인요
확정,1,ASANA 이전 생성건,TA254003250731-01,TA254003250731,KW,특송,45873,태광KR,AMZUS,TA254003250731-01,,TA254003250731-01,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1836,17,8,14688,20280707,,1Z2W0R060497400452,FINISHED,,,,,,,,2025-08-06,2025-09-18,2025-08-04,,,ALL_RECEIVED,0,0,0,확인요
확정,0,ASANA 이전 생성건,TA254003250731-02,TA254003250731,KW,특송,45874,태광KR,AMZUS,TA254003250731-02,,TA254003250731-02,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,3348,31,8,26784,20280616,,1Z2W0R060491859479,FINISHED,,,,,,,,2025-08-06,2025-09-18,2025-08-05,,,ALL_RECEIVED,0,0,0,확인요
확정,1,ASANA 이전 생성건,TA254003250731-03,TA254003250731,KW,특송,45875,태광KR,AMZUS,TA254003250731-03,,TA254003250731-03,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,3348,31,8,26784,20280616,,1Z2W0R060494691251,FINISHED,,,,,,,,2025-08-07,2025-09-18,2025-08-06,,,ALL_RECEIVED,0,0,0,확인요
확정,0,ASANA 이전 생성건,TA254003250731-04,TA254003250731,KW,특송,45876,태광KR,AMZUS,TA254003250731-04,,TA254003250731-04,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,3348,31,8,26784,20280616,,1Z2W0R060494244056,FINISHED,,,,,,,,2025-08-11,2025-09-18,2025-08-07,,,ALL_RECEIVED,0,0,0,확인요
확정,1,ASANA 이전 생성건,TA254003250731-05,TA254003250731,KW,특송,45877,태광KR,AMZUS,TA254003250731-05,,TA254003250731-05,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,3240,30,8,25920,20280707,,1Z2W0R060490026950,FINISHED,,,,,,,,2025-08-11,2025-09-18,2025-08-08,,,ALL_RECEIVED,0,0,0,확인요
확정,1,ASANA 이전 생성건,TA254003250731-05,TA254003250731,KW,특송,45877,태광KR,AMZUS,TA254003250731-05,,TA254003250731-05,8809875454275,B0CMGTP6LC,BA00026,Swimming Pool Ampoule,77,1,7,539,20280603,,1Z2W0R060490026950,FINISHED,,,,,,,,2025-08-11,2025-09-18,2025-08-08,,,ALL_RECEIVED,0,0,0,확인요
확정,0,ASANA 이전 생성건,TA254003250812,TA254003250812,KW,특송,45883,태광KR,AMZUS,TA254003250812,,TA254003250812,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1296,12,8,10368,20280709,1620,1Z2W0R060490004992,FINISHED,,,,,,,,2025-08-19,2025-09-18,2025-08-14,,,ALL_RECEIVED,1296,0,0,정상
확정,1,ASANA 이전 생성건,TA254003250812-01,TA254003250812,KW,특송,45887,태광KR,AMZUS,TA254003250812-01,,TA254003250812-01,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1296,12,8,10368,20280709,1620,1Z2W0R060499767518,FINISHED,,,,,,,,2025-08-20,2025-09-18,2025-08-18,,,ALL_RECEIVED,1296,0,0,정상
확정,0,ASANA 이전 생성건,TA254003250812-02,TA254003250812,KW,특송,45889,태광KR,AMZUS,TA254003250812-02,,TA254003250812-02,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1296,12,8,10368,20280709,1620,1Z2W0R060497881200,FINISHED,,,,,,,,2025-08-21,2025-09-18,2025-08-20,,,ALL_RECEIVED,1296,0,0,정상
확정,1,ASANA 이전 생성건,TA254003250812-03,TA254003250812,KW,특송,45891,태광KR,AMZUS,TA254003250812-03,,TA254003250812-03,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1296,12,8,10368,20280709,1620,1Z2W0R060492831675,FINISHED,,,,,,,,2025-08-25,2025-09-18,2025-08-22,,,ALL_RECEIVED,1296,0,0,정상
확정,0,ASANA 이전 생성건,TA254003250812-04,TA254003250812,KW,특송,45894,태광KR,AMZUS,TA254003250812-04,,TA254003250812-04,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1080,10,8,8640,20280709,1080,1Z2W0R060492734084,FINISHED,,,,,,,,2025-08-26,2025-09-18,2025-08-25,,,ALL_RECEIVED,1296,0,0,정상
확정,1,ASANA 이전 생성건,TA254003250812-05,TA254003250812,KW,특송,45896,태광KR,AMZUS,TA254003250812-05,,TA254003250812-05,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1080,10,8,8640,20280709,1080,1Z2W0R060498694474,FINISHED,,,,,,,,2025-08-30,2025-09-18,2025-08-27,,,ALL_RECEIVED,1296,0,0,정상
확정,0,ASANA 이전 생성건,AC254003250813,AC254003250813,UPS,택배,45883,어크로스비US,AMZUS,AC254003250813,,AC254003250813,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,3024,28,8,24192,20280310,어크로스비 재고 아마존 이동처리,1ZRR43520325567039,FINISHED,,,,,,,,2025-08-15,2025-09-18,2025-08-14,,,ALL_RECEIVED,3024,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456361,B0DZBK78H3,BA00035,Collagen Pore-Tight Up Gel toner pads,960,20,1,960,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,960,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456354,B0DZBD3VKX,BA00036,Collagen Glow Up Gel toner pads,960,20,1,960,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,960,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456347,B0F4QXKJCW,BA00039,Bakuchiol Plumping Capsule Cream,300,5,1,300,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,300,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875454275,B0CMGTP6LC,BA00026,Swimming Pool Ampoule,1617,21,1,1617,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,1617,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456378,,BA00033,Toner Sachet [2ml/-],3600,2,1,3600,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,3600,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456385,,BA00034,Bakuchiol Plumping Serum Sachet [2ml/-],3600,2,1,3600,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,3600,0,0,정상
확정,1,ASANA 이전 생성건,BSTSEQQ250818-1,INSGC0002508140031,JNK,그레이,45900,태광KR,SBSSG,,INSGC0002508140031,INSGC0002508140031,8809875456040,,BA00041,Vitamin Illuminating Serum Sachet [2ml/-],3600,2,1,3600,,개별2차/BSTS 9차,ASIN25080068,FINISHED,LC,2,2,1008.07,,2025-09-11,2475025901975X,2025-09-11,2025-09-25,2025-08-31,PORT KLANG VOYAGER,Y,ALL_RECEIVED,3600,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456460,B0D9BDK13P,BA00024,Swimming Pool Daily Facial Toner 155ml,1620,30,1,1620,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,1620,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875454312,B0CMGQXKVB,BA00025,Swimming Pool Toner Pad,400,14,1,400,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,400,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456484,B0D8W2W8C2,BA00021,Bakuchiol Plumping Serum,1080,10,1,1080,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,1080,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456477,B0D8W1YVBX,BA00022,Vitamin Illuminating Serum,1080,10,1,1080,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,1080,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456392,B0DSPM9FXH,BA00030,Collagen Pore-Tight Up Hydrogel Mask - 4 Sheets,400,10,1,400,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,400,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456439,B0DSPPVXDH,BA00031,Collagen Glow Up Hydrogel Mask - 4 Sheets,400,10,1,400,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,400,0,0,정상
확정,0,ASANA 이전 생성건,BSTSEQQ250819-1,INTHA0002508070013,MNM,그레이,45897,태광KR,SBSTH,,INTHA0002508070013,INTHA0002508070013,8809875456033,B0DP731L3H,BA00029,Purple Rice Pore Smoothing Cleansing Oil 200ml,154,2,1,154,,개별1차/BSTS 1차,KMTCINC5108894,FINISHED,LC,4,4,1675,,2025-09-12,2475025902004X,2025-09-12,2025-09-23,2025-08-28,SKY RAINBOW,Y,ALL_RECEIVED,154,0,0,정상
