date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time
2025-09-19,AMZUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"42,364",424,42364,0,0,0,0,
2025-09-19,AMZUS,BA00022,비타민일루미네이팅세럼[30ml/-],"147,354","2,212",147354,0,0,0,0,
2025-09-19,AMZUS,BA00023,스위밍풀토너[300ml/-],"24,554",204,24554,0,0,0,0,
2025-09-19,AMZUS,BA00024,스위밍풀토너[155ml/-],468,0,468,0,0,0,0,
2025-09-19,AMZUS,BA00025,스위밍풀토너패드[220ml|70매/-],"1,342",12,1342,0,0,0,0,
2025-09-19,AMZUS,BA00026,스위밍풀앰플[50ml/-],220,2,220,0,0,0,0,
2025-09-19,AMZUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"4,151",2,4151,0,0,0,0,
2025-09-19,AMZUS,BA00028,퍼플PDRN포어세럼[30ml/-],"2,993",18,2993,0,0,0,0,
2025-09-19,AMZUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"2,173",3,2173,0,0,0,0,
2025-09-19,AMZUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"8,051",13,8051,0,0,0,0,
2025-09-19,AMZUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"12,206",40,12206,0,0,0,0,
2025-09-19,AMZUS,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"1,832",4,1832,0,0,0,0,
2025-09-19,AMZUS,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"1,826",10,1826,0,0,0,0,
2025-09-19,AMZUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"6,853",23,6853,0,0,0,0,
2025-09-19,AMZUS,BA00044,바쿠치올플럼핑캡슐토너[150ml/바쿠치올],"2,903",0,2903,0,0,0,0,
2025-09-19,AMZUS,BA00045,알로에PDRN카밍세럼[30ml/알로에PDRN],"9,601",0,9601,0,0,0,0,
2025-09-19,AMZUS,BA00046,히알토인플러딩세럼[30ml/히알토인],"9,605",0,9605,0,0,0,0,
2025-09-19,AMZUS,BA00047,NAD+펩타이드부스팅세럼[30ml/NAD+펩타이드],"22,721",0,22721,0,0,0,0,
2025-09-19,AMZUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],"4,403",3,4403,0,0,0,0,
2025-09-19,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,921",0,,,,,,
2025-09-19,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,
2025-09-19,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"15,484",0,,,,,,
2025-09-19,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,
2025-09-19,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,
2025-09-19,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,791",0,,,,,,
2025-09-19,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,609",0,,,,,,
2025-09-19,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,466",0,,,,,,
2025-09-19,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,292",0,,,,,,
2025-09-19,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,271",0,,,,,,
2025-09-19,AcrossBUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"4,564",0,,,,,,
