id,lot,cogs,stock,stock2,barcode,option1,option2,shop_id,category,brand_name,created_at,updated_at,input_stock,output_stock,reserve_stock,resource_code,resource_name,snapshot_date,available_stock,fba_input_stock,promotion_stock,boosters_item_id,fba_output_stock,output_stock_b2b,output_stock_toll,output_stock_sales,acrossb_input_stock,fba_available_stock,acrossb_output_stock,promotion_stock_info,poomgo_v2_input_stock,shopee_my_input_stock,shopee_ph_input_stock,shopee_sg_input_stock,delivery_waiting_stock,poomgo_v2_output_stock,shopee_my_output_stock,shopee_ph_output_stock,shopee_sg_output_stock,acrossb_available_stock,poomgo_v2_available_stock,shopee_my_available_stock,shopee_ph_available_stock,shopee_sg_available_stock
1746537,R0,3172,0,0,8809554960431,토너,300ml/-,38,,이퀄베리,2025-03-23T06:31:43.000Z,2025-05-15T06:29:07.000Z,0,0,0,BA00001,이퀄베리-토너[300ml/-],2025-09-19,0,0,0,640,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988394,R1,3172,0,0,8809554960431,토너,300ml/-,38,,이퀄베리,2025-06-24T19:56:07.000Z,2025-06-24T19:56:07.000Z,0,0,0,BA00001,이퀄베리-토너[300ml/-],2025-09-19,0,0,0,1371,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945011,이관미대상,3912,0,0,8809554960431,토너,300ml/-,38,,이퀄베리,2025-06-24T19:09:48.000Z,2025-06-24T19:09:48.000Z,0,0,0,BA00001,이퀄베리-토너[300ml/-],2025-09-19,0,0,0,629,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746535,R0,3920,7,7,8809554960851,클렌저,200ml/-,38,,이퀄베리,2025-03-23T06:31:40.000Z,2025-07-16T06:29:45.000Z,0,0,0,BA00004,이퀄베리-클렌저[200ml/-],2025-09-19,0,0,0,638,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944579,이관미대상,3921,0,0,8809554960851,클렌저,200ml/-,38,,이퀄베리,2025-06-24T19:09:41.000Z,2025-06-24T19:09:41.000Z,0,0,0,BA00004,이퀄베리-클렌저[200ml/-],2025-09-19,0,0,0,626,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952105,R0,4031,0,0,2345679395513,클렌저,200ml/-,38,,이퀄베리,2025-06-24T19:12:52.000Z,2025-06-24T19:12:52.000Z,0,0,0,BA00004_OY,이퀄베리-(OY)클렌저[200ml],2025-09-19,0,0,0,699,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857975,R0,3020,0,0,8809587525218,선크림,50ml/-,38,,이퀄베리,2025-06-02T12:48:05.000Z,2025-06-25T06:32:06.000Z,0,0,0,BA00005,이퀄베리-선크림[50ml/-],2025-09-19,0,0,0,635,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944291,이관미대상,2893,0,0,8809587525218,선크림,50ml/-,38,,이퀄베리,2025-06-24T19:09:36.000Z,2025-06-24T19:09:36.000Z,0,0,0,BA00005,이퀄베리-선크림[50ml/-],2025-09-19,0,0,0,624,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746534,R0,2609,2,2,8809554962459,딥크림,70ml/-,38,,이퀄베리,2025-03-23T06:31:38.000Z,2025-07-05T06:23:34.000Z,0,0,0,BA00010,이퀄베리-딥크림[70ml/-],2025-09-19,0,0,0,634,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857853,이관미대상,2609,0,0,8809554962459,딥크림,70ml/-,38,,이퀄베리,2025-06-02T12:47:57.000Z,2025-06-02T12:47:57.000Z,0,0,0,BA00010,이퀄베리-딥크림[70ml/-],2025-09-19,0,0,0,623,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946057,R0,4331,0,0,8809554962466,토너패드,220ml|70매/-,38,,이퀄베리,2025-06-24T19:10:39.000Z,2025-06-24T19:10:39.000Z,0,0,0,BA00011,이퀄베리-토너패드[220ml|70매/-],2025-09-19,0,0,0,641,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894231,R2,4331,0,0,8809554962466,토너패드,220ml|70매,38,,이퀄베리,2025-06-24T16:15:58.000Z,2025-07-22T13:57:28.000Z,0,0,0,BA00011,이퀄베리-토너패드[220ml|70매/-],2025-09-19,0,0,0,1630,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945155,이관미대상,4331,0,0,8809554962466,토너패드,220ml|70매/-,38,,이퀄베리,2025-06-24T19:09:50.000Z,2025-06-24T19:09:50.000Z,0,0,0,BA00011,이퀄베리-토너패드[220ml|70매/-],2025-09-19,0,0,0,630,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746536,R0,3947,0,0,8809554962626,클렌징오일,200ml/-,38,,이퀄베리,2025-03-23T06:31:41.000Z,2025-07-16T06:29:48.000Z,0,0,0,BA00012,이퀄베리-클렌징오일[200ml/-],2025-09-19,0,0,0,639,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944867,이관미대상,3947,0,0,8809554962626,클렌징오일,200ml/-,38,,이퀄베리,2025-06-24T19:09:45.000Z,2025-06-24T19:09:45.000Z,0,0,0,BA00012,이퀄베리-클렌징오일[200ml/-],2025-09-19,0,0,0,628,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746544,R0,418,132,132,202311301204,클렌징오일 펌프,200ml/-,38,,이퀄베리,2025-03-23T06:31:54.000Z,2025-09-19T03:36:56.000Z,0,0,0,BA00012-1,이퀄베리-클렌징오일[200ml]_펌프,2025-09-19,0,0,0,694,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945875,R0,3740,0,0,202310170517,장바구니,-/-,38,,이퀄베리,2025-06-24T19:10:20.000Z,2025-06-24T19:10:20.000Z,0,0,0,BA00015,이퀄베리-장바구니,2025-09-19,0,0,0,637,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
